# 653- Vaes Tolorro

base_tax = 2
base_production = 2
trade_goods = salt
base_manpower =  3
is_city = no
native_size = 8
native_ferocity = 4
native_hostileness = 4
hre = no

discovered_by = western
discovered_by = eastern
discovered_by = ghiscari
discovered_by = quartheen
discovered_by = naathi
discovered_by = farosi
discovered_by = yiti
discovered_by = hyrkooni
discovered_by = nefer
discovered_by = stepstones
discovered_by = ibbenese
discovered_by = summer_islanders
discovered_by = dothraki
discovered_by = wildling

culture = dothraki
religion = asoiaf_the_great_stallion

discovered_by = S23

capital = "Vaes Tolorro"

