# 727- Port Moraq

owner = R60
add_core = R60
controller = R60

culture = moraqi
religion = asoiaf_stone_cow_of_faros

base_tax = 7
base_production = 7
trade_goods = cotton
base_manpower =  4
is_city = yes
hre = no

discovered_by = western
discovered_by = eastern
discovered_by = ghiscari
discovered_by = quartheen
discovered_by = naathi
discovered_by = farosi
discovered_by = yiti
discovered_by = hyrkooni
discovered_by = nefer
discovered_by = stepstones
discovered_by = ibbenese
discovered_by = summer_islanders
discovered_by = dothraki
discovered_by = wildling




capital = "Port Moraq"

1000.1.1 = {
	add_permanent_province_modifier = {
		name = center_of_trade_modifier
		duration = -1
	}
}
